26;'Городской округ Верхотурский';15729;8593;'МФЦ';'624380, Свердловская область, г. Верхотурье, ул. Карла Маркса, д. 2';'58.860513, 60.811534';3;31.12.2015;'региональная';'оперативное управление';69,9;'Действующий'
27;;;4035;'ТОСП';'624390, Свердловская область, п. Привокзальный, ул. Советская, д 6А';'58.879281, 60.727515';2;31.12.2015;'муниципальная';'безвозмездное пользование';41,3;'Действующий'
28;'Муниципальное образование «город Каменск-Уральский»';165729;81022;'МФЦ';'623402, Свердловская область, г. Каменск-Уральский, ул. Ленина, д. 34';'56.415315, 61.914557';18;01.06.2013;'муниципальная';'безвозмездное пользование';499,2;'Действующий'
29;;;86332;'МФЦ';'623408, Свердловская область, г. Каменск-Уральский, ул. Алюминиевая, д. 43';'56.391421, 61.955691';12;30.12.2013;'муниципальная';'оперативное управление';252,4;'Действующий'
30;;;;'МФЦ';'623417, Свердловская область, г. Каменск-Уральский, ул. Октябрьская, д. 43А';'56.379371, 61.943205';8;04.02.2020;'частная';'аренда';176,53;'Действующий'
31;'Муниципальное образование «город Нижний Тагил»';347167;117761;'МФЦ';'622052, Свердловская область, г. Нижний Тагил, пр-кт. Вагоностроителей, д. 64';'57.915872, 60.133036';24;30.12.2013;'региональная';'оперативное управление';405,7;'Действующий'
32;;;113275;'МФЦ';'622002, Свердловская область, г. Нижний Тагил, ул. Космонавтов, д. 45';'57.923267, 59.934958';27;30.12.2013;'региональная';'оперативное управление';1035,7;'Действующий'
33;;;121099;'МФЦ';'622005, Свердловская область, г. Нижний Тагил, ул. Металлургов, д. 46Б';'57.940765, 60.000894';20;29.12.2014;'региональная';'оперативное управление';521,6;'Действующий'
34;'Городской округ Дегтярск';15365;15325;'МФЦ';'623271, Свердловская область, г. Дегтярск, ул. Калинина, д. 46';'56.696708, 60.087564';4;30.06.2014;'региональная';'оперативное управление';54,5;'Действующий'
35;'Городской округ Заречный';31500;27795;'МФЦ';'624250, Свердловская область, г. Заречный, ул. Курчатова, д. 23';'56.802731, 61.312902';6;14.11.2014;'региональная';'оперативное управление';218,2;'Действующий'
36;'Ирбитское муниципальное образование';27502;4344;'МФЦ';'623847, Свердловская область, п. Зайково, ул. Коммунистическая, д. 181';'57.560539, 62.760860';5;06.11.2013;'региональная';'оперативное управление';70,3;'Действующий'
37;;;428;'ТОСП';'623834, Свердловская область, Ирбитский р-н, с. Ницинское, ул. Центральная, д. 60';'57.881310, 62.758453';1;02.10.2014;'муниципальная';'безвозмездное пользование';8;'Действующий'
38;'Городской округ Карпинск';28435;26249;'МФЦ';'624930, Свердловская область, г. Карпинск, ул. Луначарского, д. 88';'59.769732, 59.994040';6;22.12.2014;'региональная';'оперативное управление';261,8;'Действующий'
